2025-07-18 18:44:37,224 INFO    StreamThr :28304 [internal.py:wandb_internal():86] W&B internal server running at pid: 28304, started at: 2025-07-18 18:44:37.224772
2025-07-18 18:44:37,234 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: status
2025-07-18 18:44:37,236 INFO    WriterThread:28304 [datastore.py:open_for_write():87] open: .\wandb\run-20250718_184437-m1pr7mtq\run-m1pr7mtq.wandb
2025-07-18 18:44:37,252 DEBUG   SenderThread:28304 [sender.py:send():388] send: header
2025-07-18 18:44:37,252 DEBUG   SenderThread:28304 [sender.py:send():388] send: run
2025-07-18 18:44:41,350 INFO    SenderThread:28304 [dir_watcher.py:__init__():211] watching files in: .\wandb\run-20250718_184437-m1pr7mtq\files
2025-07-18 18:44:41,350 INFO    SenderThread:28304 [sender.py:_start_run_threads():1158] run started: m1pr7mtq with start time 1752857077.224772
2025-07-18 18:44:41,392 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: run_start
2025-07-18 18:44:41,407 DEBUG   HandlerThread:28304 [system_info.py:__init__():26] System info init
2025-07-18 18:44:41,407 DEBUG   HandlerThread:28304 [system_info.py:__init__():41] System info init done
2025-07-18 18:44:41,407 INFO    HandlerThread:28304 [system_monitor.py:start():194] Starting system monitor
2025-07-18 18:44:41,407 INFO    SystemMonitor:28304 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-07-18 18:44:41,407 INFO    HandlerThread:28304 [system_monitor.py:probe():214] Collecting system info
2025-07-18 18:44:41,407 INFO    SystemMonitor:28304 [interfaces.py:start():188] Started cpu monitoring
2025-07-18 18:44:41,407 DEBUG   HandlerThread:28304 [system_info.py:probe():152] Probing system
2025-07-18 18:44:41,407 INFO    SystemMonitor:28304 [interfaces.py:start():188] Started disk monitoring
2025-07-18 18:44:41,423 INFO    SystemMonitor:28304 [interfaces.py:start():188] Started memory monitoring
2025-07-18 18:44:41,436 INFO    SystemMonitor:28304 [interfaces.py:start():188] Started network monitoring
2025-07-18 18:44:41,439 DEBUG   HandlerThread:28304 [gitlib.py:_init_repo():56] git repository is invalid
2025-07-18 18:44:41,439 DEBUG   HandlerThread:28304 [system_info.py:probe():200] Probing system done
2025-07-18 18:44:41,439 DEBUG   HandlerThread:28304 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.7.0', 'heartbeatAt': '2025-07-18T16:44:41.407904', 'startedAt': '2025-07-18T16:44:37.190624', 'docker': None, 'cuda': None, 'args': ('--algorithm=FedAvg', '--batch_num_per_client=3', '--batch_size=5', '--comment=', '--dataset=HAR', '--fine_tuning_epochs=6', '--join_ratio=0.17450408455106836', '--learning_rate_decay=true', '--learning_rate_decay_gamma=1.0841996992325449', '--local_learning_rate=0.013082251010050353', '--localize_feature_extractor=true', '--method=RandomSelect', '--model=HARCNN', '--total_num_clients=28'), 'state': 'running', 'program': 'main.py', 'codePathLocal': 'main.py', 'codePath': 'main.py', 'host': 'LAPTOP-TL2LVGS2', 'username': 'owner', 'executable': 'C:\\Program Files\\Python37\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 1001.0, 'min': 0.0, 'max': 2803.0}, 'cpu_freq_per_core': [{'current': 1001.0, 'min': 0.0, 'max': 2803.0}], 'disk': {'/': {'total': 237.09667587280273, 'used': 226.17238235473633}}, 'memory': {'total': 15.746696472167969}}
2025-07-18 18:44:41,439 INFO    HandlerThread:28304 [system_monitor.py:probe():224] Finished collecting system info
2025-07-18 18:44:41,439 INFO    HandlerThread:28304 [system_monitor.py:probe():227] Publishing system info
2025-07-18 18:44:41,439 DEBUG   HandlerThread:28304 [system_info.py:_save_code():44] Saving code
2025-07-18 18:44:41,441 DEBUG   HandlerThread:28304 [system_info.py:_save_code():67] Saving code done
2025-07-18 18:44:41,441 INFO    HandlerThread:28304 [system_monitor.py:probe():229] Finished publishing system info
2025-07-18 18:44:41,454 DEBUG   SenderThread:28304 [sender.py:send():388] send: files
2025-07-18 18:44:41,454 INFO    SenderThread:28304 [sender.py:_save_file():1421] saving file wandb-metadata.json with policy now
2025-07-18 18:44:41,454 INFO    SenderThread:28304 [sender.py:_save_file():1421] saving file code\main.py with policy now
2025-07-18 18:44:41,676 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: python_packages
2025-07-18 18:44:41,676 DEBUG   SenderThread:28304 [sender.py:send_request():415] send_request: python_packages
2025-07-18 18:44:41,676 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: stop_status
2025-07-18 18:44:41,676 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: internal_messages
2025-07-18 18:44:41,692 DEBUG   SenderThread:28304 [sender.py:send_request():415] send_request: stop_status
2025-07-18 18:44:42,356 INFO    Thread-16 :28304 [dir_watcher.py:_on_file_created():271] file/dir created: .\wandb\run-20250718_184437-m1pr7mtq\files\code\main.py
2025-07-18 18:44:42,356 INFO    Thread-16 :28304 [dir_watcher.py:_on_file_created():271] file/dir created: .\wandb\run-20250718_184437-m1pr7mtq\files\requirements.txt
2025-07-18 18:44:42,356 INFO    Thread-16 :28304 [dir_watcher.py:_on_file_created():271] file/dir created: .\wandb\run-20250718_184437-m1pr7mtq\files\wandb-metadata.json
2025-07-18 18:44:42,356 INFO    Thread-16 :28304 [dir_watcher.py:_on_file_created():271] file/dir created: .\wandb\run-20250718_184437-m1pr7mtq\files\code
2025-07-18 18:44:46,739 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: keepalive
2025-07-18 18:44:46,739 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: keepalive
2025-07-18 18:44:47,821 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: log_artifact
2025-07-18 18:44:48,318 INFO    wandb-upload_0:28304 [upload_job.py:push():130] Uploaded file C:\Users\owner\AppData\Local\Temp\tmpdooexv7nwandb\h4aktb9d-wandb-metadata.json
2025-07-18 18:44:49,920 DEBUG   SenderThread:28304 [sender.py:send():388] send: telemetry
2025-07-18 18:44:49,920 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: status_report
2025-07-18 18:44:49,920 DEBUG   SenderThread:28304 [sender.py:send_request():415] send_request: log_artifact
2025-07-18 18:44:51,691 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: internal_messages
2025-07-18 18:44:52,696 INFO    wandb-upload_1:28304 [upload_job.py:push():130] Uploaded file C:\Users\owner\AppData\Local\Temp\tmpdooexv7nwandb\9m7hhme4-code/main.py
2025-07-18 18:44:53,462 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: partial_history
2025-07-18 18:44:56,671 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: stop_status
2025-07-18 18:45:01,694 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: internal_messages
2025-07-18 18:45:05,916 INFO    wandb-upload_0:28304 [upload_job.py:push():88] Uploaded file C:\Users\owner\AppData\Local\wandb\wandb\artifacts\staging\tmp4dhhvhw1
2025-07-18 18:45:06,739 DEBUG   HandlerThread:28304 [handler.py:handle_request():159] handle_request: keepalive
2025-07-18 18:45:10,532 INFO    SenderThread:28304 [sender.py:send_request_log_artifact():1505] logged artifact source-AFL-HAR-4-None-20-main.py - {'id': 'QXJ0aWZhY3Q6MTg4OTI3NzY2MQ==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjY5MDkyNTEyOQ==', 'latestArtifact': None}}
